간단 통계,,,,,,,,,,,,,보기 옵션,표시된 목록의 기술스탯,,,,,,,,,,,"간단한 사용법
- 필터링 설정에서 원하는 옵션을 선택
- 여러가지 필터링들을 동시에 적용가능
- 기술스탯의 경우엔 옆에 보기 옵션에서 입수/120 바꿀 수 있음
- 예전시트에서 새버전으로 갈아타고싶으면 ""사용법"" 시트 참고",
"표시된 목록의 수집률, 콜라보 포함",,,,0.13%,,"표시된 목록의 함순이 수
콜라보 포함 (콜라보 제외)",,,,866 (777),,,120 기술스탯,내구,94,대잠,35,포격,222,뇌장,106,명중,79,,,
"표시된 목록의 수집률, 콜라보 제외",,,,0.13%,,표시된 목록의 총 획득 기술점수,,,,2,,,*입수스탯 필요하면 여기바꿔,대공,79,기동,61,항공,64,장전,92,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"여기만 수정하면 됨
메인시트(여기) 에서도 수정가능",,,,,,,입수 스탯,,,,,120 스탯,,,,,"필터링 설정
(필터링 걸고 싶은걸 
전체보기에서 특정항목으로 바꿀것)",
계산용,ID,사진,이름,레어도,함종,진영,"개장
가능?","개장
여부",즐겨찾기,"획득/육성
여부","스킬작
여부","호감작
여부","자유코멘트
(메모필요하면 쓰셈)","획득
기술점수","적용
함종","적용
함종","적용
함종","입수
능력치","입수
수치","적용
함종","적용
함종","적용
함종","120
능력치","120
수치",,
1,1,,범용형 부린,SR,구축,기타,X,,X,미획득,스작 안함,호감작 안함,,0,,,,,0,,,,,0,"이름으로 찾기
(옆에 비워둬야 전체보기)",
2,2,,시제형 부린 MK II,SSR,구축,기타,X,,X,미획득,스작 안함,호감작 안함,,0,,,,,0,,,,,0,"이름 일부로 찾기
(옆에 비워둬야 전체보기)
(검색 복붙용 : µ )",
3,3,,특장형 부린 MKIII,UR,구축,기타,X,,X,미획득,스작 안함,호감작 안함,,0,,,,,0,,,,,0,특정 함종만 보기,전체보기
4,4,,듀이,R,구축,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,내구,1,특정 레어도만 보기,전체보기
5,5,,캐신,N,구축,유니온,O,O,X,획득,스작 안함,호감작 안함,,2,구축,,,내구,1,구축,,,내구,1,특정 진영만 보기,전체보기
6,6,,다운즈,N,구축,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,내구,1,즐겨찾기만 보기,전체보기
7,7,,그리들리,R,구축,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,대공,1,획득/육성여부로 필터링하기,전체보기
8,8,,크레이븐,N,구축,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,내구,1,입수 스탯으로 필터링하기,전체보기
9,9,,맥콜,N,구축,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,내구,1,120 달성 스탯으로 필터링하기,전체보기
10,10,,모리,SR,구축,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,기동,1,스킬작 여부로 필터링하기,전체보기
11,11,,플레처,R,구축,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,대공,1,호감작 여부로 필터링하기,전체보기
12,12,,윌리엄 D 포터,UR,구축,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,구축,,,포격,1,구축,,,내구,2,개장여부로 필터링하기,전체보기
13,13,,찰스 오스본,SR,구축,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,기동,1,,
14,14,,대처,R,구축,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,대공,1,,
15,15,,얼릭,N,구축,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,내구,1,,
16,16,,푸트,N,구축,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,내구,1,,
17,17,,스펜스,N,구축,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,내구,1,,
18,18,,벤슨,R,구축,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,대공,1,,
19,19,,라피,SR,구축,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,포격,1,,
20,26,,심즈,R,구축,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,대공,1,,
21,27,,허먼,R,구축,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,구축,,,내구,1,구축,,,대공,1,,
22,28,,엘드릿지,SSR,구축,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,구축,,,대잠,1,구축,,,대공,1,,
23,29,,오마하,N,경순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,경순,,,내구,1,경순,,,내구,1,,
24,30,,롤리,N,경순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,경순,,,내구,1,경순,,,내구,1,,
25,31,,브루클린,R,경순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,경순,,,내구,1,경순,,,장전,1,,
26,32,,피닉스,R,경순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,경순,,,내구,1,경순,,,장전,1,,
27,33,,헬레나,SR,경순,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,경순,,,명중,1,경순,,,포격,1,,
28,34,,애틀란타,R,경순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,경순,,,내구,1,경순,,,장전,1,,
29,35,,쥬노,R,경순,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,경순,,,내구,1,경순,,,장전,1,,
30,36,,샌디에이고,SSR,경순,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,경순,,,대공,1,경순,,,대공,1,,
31,37,,클리블랜드,SR,경순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,경순,,,대공,1,경순,,,포격,1,,
32,38,,컬럼비아,SR,경순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,경순,,,대공,1,경순,,,포격,1,,
33,39,,펜사콜라,N,중순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,중순,대순,모니터,내구,1,중순,대순,모니터,대공,1,,
34,40,,솔트레이크시티,N,중순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,중순,대순,모니터,내구,1,중순,대순,모니터,대공,1,,
35,41,,노샘프턴,R,중순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,중순,대순,모니터,내구,1,중순,대순,모니터,대공,1,,
36,42,,시카고,R,중순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,중순,대순,모니터,내구,1,중순,대순,모니터,대공,1,,
37,43,,휴스턴,SR,중순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,중순,대순,모니터,내구,1,중순,대순,모니터,기동,1,,
38,44,,포틀랜드,R,중순,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,중순,대순,모니터,내구,1,중순,대순,모니터,대공,1,,
39,45,,인디애나폴리스,SR,중순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,중순,대순,모니터,내구,1,중순,대순,모니터,대공,1,,
40,46,,아스토리아,SR,중순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,중순,대순,모니터,내구,1,중순,대순,모니터,대공,1,,
41,47,,퀸시,SR,중순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,중순,대순,모니터,내구,1,중순,대순,모니터,대공,1,,
42,48,,빈센스,SR,중순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,중순,대순,모니터,내구,1,중순,대순,모니터,대공,1,,
43,49,,위치타,SR,중순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,중순,대순,모니터,내구,1,중순,대순,모니터,포격,1,,
44,50,,볼티모어,SSR,중순,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,중순,대순,모니터,내구,1,중순,대순,모니터,포격,1,,
45,52,,네바다,N,전함,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,전함,순전,항전,내구,2,전함,순전,항전,장전,1,,
46,53,,오클라호마,N,전함,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,전함,순전,항전,내구,2,전함,순전,항전,장전,1,,
47,54,,펜실베이니아,R,전함,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,전함,순전,항전,내구,2,전함,순전,항전,장전,1,,
48,55,,애리조나,SR,전함,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,전함,순전,항전,내구,1,전함,순전,항전,내구,2,,
49,58,,테네시,R,전함,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,전함,순전,항전,내구,2,전함,순전,항전,장전,1,,
50,59,,캘리포니아,R,전함,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,전함,순전,항전,내구,2,전함,순전,항전,장전,1,,
51,60,,콜로라도,SR,전함,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,전함,순전,항전,내구,2,전함,순전,항전,포격,1,,
52,61,,메릴랜드,SR,전함,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,전함,순전,항전,내구,2,전함,순전,항전,포격,1,,
53,62,,웨스트버지니아,SR,전함,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,전함,순전,항전,내구,2,전함,순전,항전,포격,1,,
54,63,,노스캐롤라이나,SSR,전함,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,전함,순전,항전,내구,1,전함,순전,항전,대공,2,,
55,64,,워싱턴,SSR,전함,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,전함,순전,항전,내구,1,전함,순전,항전,대공,2,,
56,65,,사우스다코타,SSR,전함,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,전함,순전,항전,내구,1,전함,순전,항전,대공,2,,
57,66,,인디애나,SSR,전함,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,전함,순전,항전,내구,1,전함,순전,항전,대공,2,,
58,68,,뉴저지,UR,전함,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,전함,순전,항전,내구,2,전함,순전,항전,포격,1,,
59,70,,롱 아일랜드,R,경항모,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,경항모,항모,,대잠,1,경항모,항모,,장전,1,,
60,71,,보그,N,경항모,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,경항모,,,대잠,1,경항모,,,대잠,1,,
61,72,,랭글리,N,경항모,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,경항모,,,대잠,1,경항모,항모,,장전,1,,
62,73,,렉싱턴,SR,항모,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,경항모,항모,,내구,2,경항모,항모,,항공,1,,
63,74,,새러토가,SR,항모,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,경항모,항모,,내구,2,경항모,항모,,항공,1,,
64,75,,레인저,N,경항모,유니온,O,X,X,미획득,스작 안함,호감작 안함,,0,경항모,,,대잠,1,경항모,항모,,항공,1,,
65,76,,요크타운,SR,항모,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,경항모,항모,,내구,2,경항모,항모,,장전,1,,
66,77,,엔터프라이즈,SSR,항모,유니온,X,,X,미획득,스작 안함,호감작 안함,,0,경항모,항모,,내구,1,경항모,항모,,항공,2,,
